regulation of response to stress,regulation of response to wounding,positive regulation of signal transduction by p53 class mediator,muscle contraction,detoxification of copper ion,immune response,hallmark inflammatory response,epithelium development,tissue development,cell adhesion,cell migration,response to stimulus,cellular response to stress,regulation of growth,regulation of cell population proliferation,intermediate filament cytoskeleton organization,S,G2/M ,G2/M transition of mitotic cell cycle,cell cycle G1/S phase transition,detection of mechanical stimulus,ATP-dependent chromatin remodeler activity,Cytoskeleton,P53 Pathway,Apoptosis,Inflamation
TNFSF11,EXTL3,,SCN3B,,TRIM44,IL10RA,GBA1,LAMA3,VCAN,MMP2,IRS2,RIPK3,ADAM10,EEF1E1,KRT5,,,,,,,CKAP2,IL1A,GSN,IL10RA
PSMD10,PTK2,,SGCA,,IGHV3-38,IL12B,NKX2-6,VGLL2,PCDH20,APCDD1,CST7,NHLRC1,CSNK2A1,SEMA5A,KRT71,,,,,,,MTRR,INHBB,GSR,IL12B
SVIP,APOE,,CCDC78,,BCL2,IL15,CD34,KRT2,CDH17,OVOL2,GTSE1,UFD1,MT2A,VSIG4,KRT74,,,,,,,CFAP90,IP6K2,GSTM1,IL15
PIK3AP1,PF4,,BBS2,,IGHV4-28,IL15RA,ZNF358,OSR1,GCNT1,TNFSF11,SETD4,DDRGK1,MT1E,BID,KRT72,,,,,,,FBXL7,IRAK1,GUCY2D,IL15RA
TRIM44,ALOX12,,DCANP1,,IGHV3-21,IL18,UGCG,BVES,EFNB1,SYDE1,CST2,CDC45,MT1M,SRSF6,KRT73,,,,,,,DCDC2,ISCU,H1F0,IL18
BCL2,GIT1,,TIFAB,,IGHV3-64D,IL18R1,CLDN1,SEMA3A,BCL2,CCL17,IMPACT,NRDE2,MT1A,KCNA5,ATF2,,,,,,,SNTG1,ITGB4,HGF,IL18R1
KAT2B,RREB1,,DMD,,IGHV3-35,IL18RAP,TMEM79,ZBTB40,PDZD2,VCAN,NCOA6,STAU2,MT1B,BMP6,DSP,,,,,,,CORIN,JAG2,HMGB2,IL18RAP
CD109,MMRN1,,PPP1R13L,,IGHV3-15,IL1A,EXT1,EYA1,ITGA2,CCL22,SLC19A1,RAD23B,MT1F,IFT52,PRPH,,,,,,,MICALL2,JUN,HMOX1,IL1A
MMP9,SMOC2,,SCN1B,,PRDM1,IL1B,GDF11,HES5,EMILIN2,CDH17,MBP,RAD18,MT1X,BMP4,RAF1,,,,,,,FTCD,KIF13B,HSPB1,IL1B
EMILIN2,F2R,,MYOT,,TRIM48,IL1R1,NAGLU,AQP11,CNTNAP4,EFNB1,COL18A1,MGST1,SHTN1,JARID2,PKP1,,,,,,,SPAG6,KLF4,IER3,IL1R1
BABAM1,F2RL1,,GRK2,,IGHV3-20,IL2RB,TGFB1,FOXF1,MYL12A,BCL2,DEFB127,RNF8,CREB3,LYN,MACF1,,,,,,,FRMD3,KLK8,IFITM3,IL2RB
IGBP1,HRG,,CLCN1,,IGHV1-24,IL4R,SMO,WDR72,CNTN6,POU3F2,DEFB115,TRPM2,SMAD7,XRCC6,PKP2,,,,,,,NEFM,KRT17,IFNB1,IL4R
YWHAZ,TNF,,MYL11,,IGHV3-33,IL6,KDR,RARG,DSC3,ARSB,SLC23A2,TWIST1,SOX15,NRP1,TCHH,,,,,,,MKKS,LDHB,IFNGR1,IL6
RFTN1,PROS1,,KLHL41,,IL10RB,IL7R,GLI3,SLC24A3,TPBG,MMP9,FLT3,NOD1,NRG3,BIRC7,,,,,,,,TBC1D21,LIF,IGF2R,IL7R
FOXC2,SIGLEC10,,EDN3,,TNFRSF13C,IL8,SLC40A1,SNAI2,DSC1,ITGA2,CST9L,DAPK1,SPAAR,SSR1,,,,,,,,ONECUT2,LRMP,IGFBP6,IL8
PCNA,F12,,P2RX2,,PADI4,INHBA,SMAD1,GDF7,DSG1,FILIP1,WFDC9,BCL2L1,ZFPM2,RPA3,,,,,,,,MAPRE1,MAPKAPK3,IL18,INHBA
SCGB1A1,INPP5F,,CHRNA1,,IGHV3-30,IRAK2,COL2A1,TBX18,NCAN,BCAR1,WFDC10A,GNB1L,PTEN,PDX1,,,,,,,,KIF13A,MDM2,IL1A,IRAK2
CXCL6,C1QTNF1,,HSP90AA1,,IGHV5-10-1,IRF1,PKD2,TRIM71,BCAR1,CD24,TRIM13,H2AC25,TMEM97,SOX4,,,,,,,,CYLC2,MKNK2,IL1B,IRF1
SAA1,MAP2K2,,PIK3CA,,IGHV2-26,IRF7,CSMD1,GJB5,LRRC4C,CEP85L,SYNGR1,MMP2,TAOK2,LIG4,,,,,,,,KIF5B,MXD1,IL6,IRF7
BECN1,USF1,,HTR7,,RPL30,ITGA5,IHH,KRT1,SLC6A4,CSPG4,WDR4,MTREX,JADE1,ID4,,,,,,,,PTPN21,MXD4,IRF1,ITGA5
